اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عطر ماجيك من ستيفانو 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a13db61d-e420-4bb8-95f6-fa406d89b7f2-500x500-Ua2bS3M0pCrn04ilzVsip67cltPDsnv4kS83Ties.jpg",159,متجر ساراء ميكاب.csv,عطر ذا دارك سايد فرانشيسكا بيانكي -100مل,44.3,GOLDEN-LOW-VERIFIED,ستيفانو,new,,
جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb6eefef-4466-4205-b4b4-7bd191827dfb-500x500-k8VKXmw2WrTIvsf6Bs8ChuoA3kHY2utbRIekdxV7.png",95,متجر ساراء ميكاب.csv,جاد بخور مبسوس الجود 30 جرام,46.8,GOLDEN-LOW-VERIFIED,,new,,
"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41b9f3fb-7c65-419f-9adb-8e01f3d6eac4-500x500-JwAMn1snU0HTmMtgBBhSDPhmwoXnNMj04GY1PTgj.png",80,متجر ساراء ميكاب.csv,عطر ويسكر كرويل أو دو بارفيوم 75مل (للجنسين),20.8,GOLDEN-LOW-VERIFIED,,new,,
كريم أساس اير مات من بورجوا - 03 لايت بيج,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31461696-43c3-462b-bf2d-58193d955e42-500x500-O4QrWQgHVRnHbWUN6ru7BvORrmMjdvdxlzoQXgVz.png",55,متجر ساراء ميكاب.csv,كريم أساس استي لودر دبل وير ستاي إن بلايس,39.5,GOLDEN-LOW-VERIFIED,كريد,new,,
فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cda06362-75c5-492e-b524-bafae90bafc3-500x500-H9MVggTJe6Hs4ph3fpUdvWCMoiK7Qa3YMd3SkAaU.png",164,متجر ساراء ميكاب.csv,تستر جورجيو أرماني بريف بلانك نوير أو دو برفيوم 100مل,19.7,GOLDEN-LOW-VERIFIED,فرنش أفينيو,new,,
توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/69d1a149-dba8-48dc-8260-2263ae4c134a-500x500-czsEpWoMsNuqvPtzSiYTVkksB7D2FTQyaFA3VVZl.png",362,متجر ساراء ميكاب.csv,تستر توم فورد ياسمين روج أو دو برفيوم 50 مل,32.5,GOLDEN-LOW-VERIFIED,توم فورد,new,,
عطر روز بريك من توم فرود اودي بارفيوم30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cb3f6129-bcef-475c-9ec0-d6e037cdde62-500x500-1FWiIGBZBrfV0C5Cq3TT8PshNUvRXlYRgK2vkUNO.png",753,متجر ساراء ميكاب.csv,عطر توم فورد روز بريك أو دو بارفيوم 250مل,36.6,GOLDEN-LOW-VERIFIED,توم فورد,new,,
توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0f6d49c9-b581-45b4-aff3-35ed4b530a7f-500x500-HDDUfwWcCRx8sgaYkcV3MNvnl9IIXnUmn6eapgUL.png",362,متجر ساراء ميكاب.csv,عطر توم فورد وايت سوايد أو دو برفيوم 50 مل,37.5,GOLDEN-LOW-VERIFIED,توم فورد,new,,
معطر جسم توم فورد توسكان ليذر 150مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5a3548e8-6c56-492c-81ba-22362c1377bd-500x500-cfpekdPt9lQgRULzOlnmkfXMmTOhhSuRB9qw78UA.png",347,متجر ساراء ميكاب.csv,معطر للجسم توم فورد بلاك أوركيد 150مل,45.8,GOLDEN-LOW-VERIFIED,توس,new,,
ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e52acba2-6659-444b-b853-78b76d78c678-500x500-jcNHdoLATbz9Tlk3FhY3IFeIvaIjwwnqz9W0hDjw.png",25,متجر ساراء ميكاب.csv,جل حواجب نكس ذا براو جلو - شفاف 5 جرام,33.8,GOLDEN-LOW-VERIFIED,,new,,
عطر سولاي نيج أو دو بارفان,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a35dd071-bd8c-47aa-b700-bebe890984e9-500x500-teZJWEL7oEG3NGg3BG7E9krqK0pJwRYf778HZgS1.png",851,متجر ساراء ميكاب.csv,عطر دولتشي آند غابانا ذا وان إنتنس أو دو بارفيوم 100مل,50.3,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6c41663c-56be-47e9-879c-8081ab518aa1-500x500-P2iJzeZwgHzgQJiUtIvzWznfePB1r8vCSX29jneV.png",24,متجر ساراء ميكاب.csv,عطر هيرمس جور دي أبسولو أو دو بارفيوم 85مل,39.2,GOLDEN-LOW-VERIFIED,دي غابور,new,,
عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/544ae3d7-f9a5-49dc-904a-ac5687a6a25f-500x500-eHaSpRt44q5kLB4lAL5vuqVML7jpESLnxfhmBjwr.png",24,متجر ساراء ميكاب.csv,عطر أوسكار دي لا رينتا بيلا إيسنس أو دو بارفيوم 100مل,37.9,GOLDEN-LOW-VERIFIED,دي غابور,new,,
عينة عطر كلكوز فلورز لي اروجينال,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5c06ef4d-8f47-4858-a815-d57dc18dac6b-500x500-q7QqIyMXdpDcEAKw84qCHTRdcrcCArYjkl2VBBhm.png",13,متجر ساراء ميكاب.csv,عطر ليدي قاقا فيم او دو بارفيوم 100مل,42.6,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/7ef4738b-16a0-41e2-842d-9509b596a3b7-500x500-gSKnsdQvc17Gf3mFmOuW1LzPgqmfWK5wpnFmGRzF.png",10,متجر ساراء ميكاب.csv,عطر بوشرون سنتال دو كاندي أو دو بارفيوم 125مل,38.8,GOLDEN-LOW-VERIFIED,هوبيجان,new,,
عينة عطر هوبيجانت باريس توباك نوميد,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/02847231-11cd-4978-8657-8c6122d00ac8-500x500-BgGdA3lUE5HPo8TKZPwimrxdKsnURUo4zRktV5gG.png",10,متجر ساراء ميكاب.csv,عطر ميمو باريس كويرز نومادز سيسيليان ليذر أو دو برفيوم 75 مل,31.0,GOLDEN-LOW-VERIFIED,هوبيجان,new,,
عينة عطر دارلينج من دي غابور بارفيوم,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/087a5b97-a2a7-46f0-b2d2-685e1236c41e-500x500-3zlEwZVxLa02G1ihTLzT37GxV5vz4O8l1qu4J3e3.png",24,متجر ساراء ميكاب.csv,عطر بروتس من اورتو باريسي - 50مل - بارفيوم,38.8,GOLDEN-LOW-VERIFIED,دي غابور,new,,
عطر مستخلص عطر العود النبطي50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9d9054bf-7322-4e0a-9452-750f0467c506-500x500-RxXEUMotblZkBDGmMYqEBi59Zah6Z9fpwCKwErOS.png",862,متجر ساراء ميكاب.csv,عطر دينجوريس ماريكس 50مل,37.3,GOLDEN-LOW-VERIFIED,,new,,
عطر كوكتيل ماراكويا اكستريت دي بارفيوم 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a97f5f1d-1813-4b3d-88b5-0e6449b3ad9c-500x500-hQk4gBHvKaTkkYSlFbVDma9sqCKWaTtZmpmWnVo0.png",690,متجر ساراء ميكاب.csv,عطر لورينزو بازاجليا فان باي روم اكسترايت دو بارفيوم 50مل,54.3,GOLDEN-LOW-VERIFIED,,new,,
هيستوار دي بارفيومز 7753 او دي بارفان 120 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bbdf855c-fcdc-4b42-baf8-37a1f0748702-500x500-3bCkhIUtzsYLJ6CYlEYLjAFgsdFSIy4wcGZJcPCd.png",667,متجر ساراء ميكاب.csv,تستر كارولينا هيريرا 212 في آي بي بلاك إليكسير أو دو بارفيوم 100 مل,15.5,GOLDEN-LOW-VERIFIED,بورديل بارفيوم,new,,
تاريخ العطور 1876- 120مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2139ac52-965f-44ab-996e-08ee1af76dd1-500x500-aMJtUWPwUuEeca5edfVRAshzB2io9ewCl1AckoLB.png",655,متجر ساراء ميكاب.csv,عطر هيستوريس دي بارفيومز 1899 أو دو برفيوم 120 مل,33.5,GOLDEN-LOW-VERIFIED,تارت,new,,
عطر روز ريغليس افينيسانس 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e9b403cc-28dc-4a3d-95de-6fc5b3927263-500x500-uJ6B5Dj8n3566UdqrC5xwR9VtDzjhxJOvVinuJ8p.png",573,متجر ساراء ميكاب.csv,عطر قصة روغ 50مل,50.3,GOLDEN-LOW-VERIFIED,افينيسانس,new,,
عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/809149d8-7483-4f11-8772-a67a61d0ef25-500x500-pAgGiaY35Vln3Jabz0djQx7vzzuzZgY2qKSxKLYl.png",552,متجر ساراء ميكاب.csv,عطر أنطونيو بانديراس بلو سيدكشن أو دو تواليت 100مل,19.8,GOLDEN-LOW-VERIFIED,,new,,
عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/2ac87726-e942-415a-8508-ae14c701eea8-500x500-nZg9WH3YiSDK8fkDMifx3Gj5NQ13adqr4PQIBm7m.png",402,متجر ساراء ميكاب.csv,عطر فيرزاتشي كريستال نوار أو دو تواليت 50مل,34.7,GOLDEN-LOW-VERIFIED,ستيلا ماكارتني,new,,
عطر بيور فيين 100 مل عطر زهري للجنسين,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0995391a-0c77-49fd-ad4d-b8f10ce30f8e-500x500-tMR0hlkQyQkYSqNUS0jumM81PKlSbPodcFsLwEIG.png",402,متجر ساراء ميكاب.csv,عطر ميزون كريفلي فلور ديمانتين 100 مل,41.7,GOLDEN-LOW-VERIFIED,,new,,
عطر ماجيك من ستيفانو 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a13db61d-e420-4bb8-95f6-fa406d89b7f2-500x500-Ua2bS3M0pCrn04ilzVsip67cltPDsnv4kS83Ties.jpg",159,متجر ساراء ميكاب.csv,عطر ذا دارك سايد فرانشيسكا بيانكي -100مل,44.3,GOLDEN-LOW-VERIFIED,ستيفانو,new,,
جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bb6eefef-4466-4205-b4b4-7bd191827dfb-500x500-k8VKXmw2WrTIvsf6Bs8ChuoA3kHY2utbRIekdxV7.png",95,متجر ساراء ميكاب.csv,جاد بخور مبسوس الجود 30 جرام,46.8,GOLDEN-LOW-VERIFIED,,new,,
"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة","https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/41b9f3fb-7c65-419f-9adb-8e01f3d6eac4-500x500-JwAMn1snU0HTmMtgBBhSDPhmwoXnNMj04GY1PTgj.png",80,متجر ساراء ميكاب.csv,عطر ويسكر كرويل أو دو بارفيوم 75مل (للجنسين),20.8,GOLDEN-LOW-VERIFIED,,new,,
كريم أساس اير مات من بورجوا - 03 لايت بيج,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31461696-43c3-462b-bf2d-58193d955e42-500x500-O4QrWQgHVRnHbWUN6ru7BvORrmMjdvdxlzoQXgVz.png",55,متجر ساراء ميكاب.csv,كريم أساس استي لودر دبل وير ستاي إن بلايس,39.5,GOLDEN-LOW-VERIFIED,كريد,new,,
فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/cda06362-75c5-492e-b524-bafae90bafc3-500x500-H9MVggTJe6Hs4ph3fpUdvWCMoiK7Qa3YMd3SkAaU.png",164,متجر ساراء ميكاب.csv,تستر جورجيو أرماني بريف بلانك نوير أو دو برفيوم 100مل,19.7,GOLDEN-LOW-VERIFIED,فرنش أفينيو,new,,
توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/69d1a149-dba8-48dc-8260-2263ae4c134a-500x500-czsEpWoMsNuqvPtzSiYTVkksB7D2FTQyaFA3VVZl.png",362,متجر ساراء ميكاب.csv,تستر توم فورد ياسمين روج أو دو برفيوم 50 مل,32.5,GOLDEN-LOW-VERIFIED,توم فورد,new,,
