اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
عطر توم فورد تشيري سموك او دو بارفيوم 50مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/93c3c31f-3dc5-47ae-b451-cfe8fa5d581d-500x500-EjVxttLRLt5EeWFGwnElaQflWVsFPEcDMvETJH1h.png",770,متجر ساراء ميكاب.csv,عطر توم فورد توبيروز نوي أو دو بارفيوم 50مل,85.5,GOLDEN-GRAY,توم فورد,review,,
توم فورد - فانيل فاتال أو دو بارفان سبراي 30,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/0e01ad36-0449-43f1-ad83-de07a7fd5875-500x500-RofuEPiWSx2jYyE4ALRs1dBPLZf0UYoU47TQIB6m.png",661,متجر ساراء ميكاب.csv,تستر توم فورد ياسمين روج أو دو برفيوم 50 مل,62.0,GOLDEN-GRAY,توم فورد,review,,
زيت جسم توم فورد سوليل بلانك 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ad44d6b0-4c03-431c-9737-4008a64e3a63-500x500-ikXI24cbvf5TKBkyFs3uT77EhMQmciKevy9VbSNX.png",535,متجر ساراء ميكاب.csv,عطر توم فورد نوار اكستريم برفيوم 100 مل,72.9,GOLDEN-GRAY,توم فورد,review,,
توم فورد Soleil Neige زيت لامع للجسم 101 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/31536c18-9cb4-4a80-b181-235b9668d0c4-500x500-kH709zstS9hpMJh7xhiskr6RpTt6DtsBFCBDpf5l.png",488,متجر ساراء ميكاب.csv,عطر توم فورد نوار اكستريم برفيوم 100 مل,62.4,GOLDEN-GRAY,توم فورد,review,,
توم فورد ايبين فومي بخاخ للجسم 150 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c93bae36-00a0-41b6-86f4-74604b8e3a3e-500x500-lDb04DNOfCX3wCiRVwMzXTdWQCt8Ne36BGx0hIlG.png",346,متجر ساراء ميكاب.csv,معطر للجسم توم فورد الجسم بيتر بيتش 150مل,76.6,GOLDEN-GRAY,توم فورد,review,,
معطر جسم توم فورد عود وود 150مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/555ceeca-8b7e-44d9-991c-de4791867c1d-500x500-P0bz6S8fYU5bHydag1XigYDUrWI2PcKpAVOMo3J4.png",345,متجر ساراء ميكاب.csv,معطر للجسم توم فورد الجسم بيتر بيتش 150مل,75.0,GOLDEN-GRAY,توم فورد,review,,
عطر توم فورد فيج سنس للجنسين – 50 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f9595213-6335-4a00-bce4-fbc1565c7291-500x500-tWUlB5I0fkSps6jdZUP9Tlj0z3b9P9XL6IF75qII.png",1123,متجر ساراء ميكاب.csv,عطر توم فورد أومبر ليذر أو دو بارفيوم 50 مل للجنسين,73.8,GOLDEN-GRAY,توم فورد,review,,
عطر عرار من نسمات نجد انتنس 70ملي,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/9a266191-60da-4562-bcfc-92c4ea74d9ad-500x500-GNNX4h9jPmZaijguml2EgBoDviloVAYmV9f6SxSv.png",299,متجر ساراء ميكاب.csv,عطر نسمات نجد سيدرا أو دو برفيوم 70 مل,66.7,GOLDEN-GRAY,نسمات نجد,review,,
لطافة عطر ماهر بلاك إديشن - او دو برفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6f5e7c82-fbed-478e-9884-748a0f4d23ec-500x500-Ch8X861DgoW9wOqoIU5nLkqMylm17BR5K2Zt2Wqm.png",138,متجر ساراء ميكاب.csv,عطر لطافة سر الخلود بلاك أو دو برفيوم 100 مل,84.5,GOLDEN-GRAY,لطافة,review,,
طقم عطر واي اف سان لوران ادو بارفيوم للرجال 100 مل + 10 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/aab45496-dced-4208-81bb-bafa8bc8bd35-500x500-Iay5wDzhtoszQt8p6EA0s1GAurwMrCPKyMVxDPq8.png",483,متجر ساراء ميكاب.csv,عطر واي إيف سان لوران أو دو بارفيوم انتنس 100 مل للرجال,79.0,GOLDEN-GRAY,ايف سان لوران,review,,
