اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
مجموعة لا في إيه بيل 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/fdcd89d8-1b84-49c6-9191-781c809afdb9-500x500-e4RSVcY8N3Q5WNgv4AMxo88v7xJWMVrPj1Vb3sF5.png",793,متجر ساراء ميكاب.csv,مجموعة لافيرن مس لافيرن بلوم 100 مل,49.8,REVERSE-LOOKUP-FOUND,,duplicate,,
مجموعة عطر باكو رابان مليون جولد النسائي او دي بارفيوم 90 مل + عينة 20 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b552dd7b-df15-438d-b25a-7eb494c226eb-500x500-tZAoVVpgLFe5qEJlGnsmMXdR9zMHYqcJ6tQSRD57.png",540,متجر ساراء ميكاب.csv,دولسي جابانا ذا اونلي ون اودي بارفيوم نسائي 100 مل + عطر سكب 5 مل + عطر بخ 10 مل,16.1,REVERSE-LOOKUP-FOUND,باكو رابان,duplicate,,
عطر دولسي جابانا ذا ون أو دو بارفيوم 100مل اصدار 2026,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/8b63ff5c-28a0-43b2-9a86-4eb40f4b758b-500x500-hi43MPJ3PqZFVuXgHBAB9DeGgYptce4JNwsHJRlx.png",437,متجر ساراء ميكاب.csv,عطر أوسكار دي لارنتا بيلا نايت أو دو بارفيوم 100مل,42.8,REVERSE-LOOKUP-FOUND,,duplicate,,
عطر جيفنشي هوت كوتور او دو تواليت 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/a902fa7e-9330-4d0f-a063-97d11d52aa23-500x500-UEiZ6WKKqSFZWMGzOZbJ59Uh8P1YXpg06IR21yB6.png",402,متجر ساراء ميكاب.csv,عطر جيفنشي هوت كوتور أو دو تواليت 100 مل,93.5,GOLDEN-HIGH,جيفنشي,duplicate,,
عطر توم فورد فانيلا سكس أو دو بارفان للجنسين 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/5db80e1f-e111-4b10-9170-1244f118bdfc-500x500-wJGPh7FpfEwLTa3BqWqPMOrztvQs8PGOd0ZpH8aS.png",908,متجر ساراء ميكاب.csv,عطر توم فورد فانيلا سينسورد أو دو بارفيوم 50مل,37.0,REVERSE-LOOKUP-FOUND,توم فورد,duplicate,,
عطر توم فورد توسكان ليذر او دو بارفيوم 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/853c18e1-b874-4ea8-a4f0-3b23833ba25c-500x500-AItkd7EZZS39TBqZOi0569Kx7kcCGo1Amg5i9d9P.png",732,متجر ساراء ميكاب.csv,عطر توم فورد توسكان ليذر او دو بارفيوم 50مل,42.9,REVERSE-LOOKUP-FOUND,توس,duplicate,,
عطر توم فورد عود وود او دو بارفيوم 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/b4c9f3c2-62e7-4915-996f-bc44ba714c0e-500x500-T6iHrOiTeDXkxsfwsBsttFCvkmWvZYOQa2XMbiP4.png",690,متجر ساراء ميكاب.csv,عطر توم فورد عود وود أو دو بارفيوم 100 مل,41.5,REVERSE-LOOKUP-FOUND,توم فورد,duplicate,,
توم فورد سانتال بلاش أو دي بارفان سبراي 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/331f5f8e-9001-4e19-9cb8-8a72677838a7-500x500-u0vQrW5gU4jpdt44pCkY8wpz6a24m0wZEafbCqU9.png",678,متجر ساراء ميكاب.csv,تستر توم فورد فوجير دارجان أو دو بارفيوم 100مل,33.0,REVERSE-LOOKUP-FOUND,توم فورد,duplicate,,
عطر توم فورد سولاي سوليل بلانك او دو بارفيوم 30مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ddb9744c-286f-4109-be83-e45ecbb7bdff-500x500-3Cvrnytyg4GFRG630MuUCbfQ35VezgmDyg9OPKq2.png",615,متجر ساراء ميكاب.csv,عطر توم فورد فانيلا سينسورد أو دو بارفيوم 50مل,36.4,REVERSE-LOOKUP-FOUND,توم فورد,duplicate,,
توم فورد توباكو فانيل 30 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/bdb226e1-990d-482c-b038-2fb0fb004f44-500x500-6kc2SD2oqGDu4r9Lp6Kq49lZCJ1YNrbGz9FWlrNO.png",552,متجر ساراء ميكاب.csv,معطر للجسم توم فورد بلاك أوركيد 150مل,31.9,REVERSE-LOOKUP-FOUND,توم فورد,duplicate,,
عمان لوكجري هوماج 1744 أو دو برفيوم 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/dd168e17-dd6e-441a-a228-565b2cb7b9b0-500x500-WQojRVnBOsLi3rZ2Yyx4YoXCZEKCSGCIW3d0ndiN.png",1196,متجر ساراء ميكاب.csv,تستر إل بروفومو شوكليت أو دو برفيوم 100 مل,40.9,REVERSE-LOOKUP-FOUND,عمان لكجري,duplicate,,
عطر بيستاليسوس من فرانك اوليفر 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/e5c894e8-7c0f-4b15-bf2f-0684d619e763-500x500-vChDbn3vrraU8bflyf1VEozbBdk6LXzzQ2LEsGxM.png",293,متجر ساراء ميكاب.csv,عطر رامون مونيغال سيستا 100 مل,46.1,REVERSE-LOOKUP-FOUND,فرانك أوليفر,duplicate,,
عطر نيوت لوكشري من فرانك اوليفر 100 ملي,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/52f8bcc5-becc-49c6-a908-f95d34a12181-500x500-riEPZ4M5lj1qIluWQHfXzNETduG5OVdbXxeq4ovY.png",287,متجر ساراء ميكاب.csv,عطر يونيك لكجري إزمير إكسترايت دي بارفيوم 100 مل,42.0,REVERSE-LOOKUP-FOUND,فرانك أوليفر,duplicate,,
فرانك اوليفر عطر كولكشن شوكليت ازول ابسولو 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/6f1a7f74-c284-474a-b4ee-6df0e370c47c-500x500-uJrP71CvUlWxUsH6tp7x6PGWcjneKpKvowGSY9UP.png",264,متجر ساراء ميكاب.csv,عطر ميزون كريفلي بابيروس موليكيولير 100 مل,43.8,REVERSE-LOOKUP-FOUND,فرانك أوليفر,duplicate,,
فرانك اوليفر عطر كولكشن شوكليت هافاتا قولد 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/90240acf-1ef5-444c-85da-8063294166ed-500x500-Wp4KDv5De51DZUqolylAQ3YCo27kqJ611hN60Qqt.png",247,متجر ساراء ميكاب.csv,عطر جان بول غوتييه كلاسيك أو دو تواليت 100 مل,42.0,REVERSE-LOOKUP-FOUND,فرانك أوليفر,duplicate,,
فرانك اوليفر عطر كاندى كيس 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/c3aea31b-2f0c-425f-b404-f7d4e13ffb49-500x500-QbkKqm5MhcFwDzj8HYixvuqeScdACW6m1pTm1IRf.png",247,متجر ساراء ميكاب.csv,عطر للجسم صمام كيس آند سي ريد برايف 100مل,45.0,REVERSE-LOOKUP-FOUND,فرانك أوليفر,duplicate,,
فرانك اوليفر عطر كولكشن شوكلت فانيليا كراش 100 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/ed26ad9d-060e-4b26-8530-2e36b562055f-500x500-yPvSusyYWmtCjth50gKtjwfZ5oDfjJwxBv4BlQu8.png",247,متجر ساراء ميكاب.csv,عطر ميزون كريفلي بابيروس موليكيولير 100 مل,42.5,REVERSE-LOOKUP-FOUND,فرانك أوليفر,duplicate,,
عطر عود باراديس بارفيوم من فرانك اولفير - 100مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/f758589d-683b-46d4-934f-32030592b389-500x500-yYtuI8Fxi61ZcXjt7aPAF6RBVgGzspJA6IBJTlad.png",124,متجر ساراء ميكاب.csv,عطر يونيك لكجري هيدن أكوردز إكسترايت دي بارفيوم 100 مل,48.4,REVERSE-LOOKUP-FOUND,فرانك أوليفر,duplicate,,
عطر مليون جولد رابان بيور دايموند نسائي او دي بارفيوم - 90 مل,"https://cdn.salla.sa/cdn-cgi/image/fit=scale-down,width=500,height=500,onerror=redirect,format=webp/nymGz/88075669-306d-4a00-9d81-d64b6391fb65-500x500-4PX5EtP5mUCJLb2wgatEoT71LrFL4tAApblh963w.png",714,متجر ساراء ميكاب.csv,عطر إستي لودر راديانت ميراج أو دو بارفيوم 100 مل,18.6,REVERSE-LOOKUP-FOUND,,duplicate,,
