بيانات المنتج,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
النوع ,أسم المنتج,تصنيف المنتج,صورة المنتج,وصف صورة المنتج,نوع المنتج,سعر المنتج,الوصف,هل يتطلب شحن؟,رمز المنتج sku,سعر التكلفة,السعر المخفض,تاريخ بداية التخفيض,تاريخ نهاية التخفيض,اقصي كمية لكل عميل,إخفاء خيار تحديد الكمية,اضافة صورة عند الطلب,الوزن,وحدة الوزن,الماركة,العنوان الترويجي,تثبيت المنتج,الباركود,السعرات الحرارية,MPN,GTIN,خاضع للضريبة ؟,سبب عدم الخضوع للضريبة,[1] الاسم,[1] النوع,[1] القيمة,[1] الصورة / اللون,[2] الاسم,[2] النوع,[2] القيمة,[2] الصورة / اللون,[3] الاسم,[3] النوع,[3] القيمة,[3] الصورة / اللون
منتج,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,العطور,,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",العطور,,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة |  |  - مهووس العطور",,,,,,نعم,,,,,,,,,,,,,
منتج,كريم أساس اير مات من بورجوا - 03 لايت بيج,العطور,,كريم أساس اير مات من بورجوا - 03 لايت بيج,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,كريم أساس اير مات من بورجوا - 03 لايت بيج |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,العطور,,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,العطور,,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر روز بريك من توم فرود اودي بارفيوم30مل,العطور,,عطر روز بريك من توم فرود اودي بارفيوم30مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر روز بريك من توم فرود اودي بارفيوم30مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,العطور,,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black,العطور,,ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر سولاي نيج أو دو بارفان,العطور,,عطر سولاي نيج أو دو بارفان,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر سولاي نيج أو دو بارفان |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم,العطور,,عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,العطور,,عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر كلكوز فلورز لي اروجينال,العطور,,عينة عطر كلكوز فلورز لي اروجينال,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر كلكوز فلورز لي اروجينال |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم,العطور,,عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر روز دو ديزيرتاو من هوبيجان دو بارفيوم |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر هوبيجانت باريس توباك نوميد,العطور,,عينة عطر هوبيجانت باريس توباك نوميد,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر هوبيجانت باريس توباك نوميد |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عينة عطر دارلينج من دي غابور بارفيوم,العطور,,عينة عطر دارلينج من دي غابور بارفيوم,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عينة عطر دارلينج من دي غابور بارفيوم |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر مستخلص عطر العود النبطي50مل,العطور,,عطر مستخلص عطر العود النبطي50مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر مستخلص عطر العود النبطي50مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,هيستوار دي بارفيومز 7753 او دي بارفان 120 مل,العطور,,هيستوار دي بارفيومز 7753 او دي بارفان 120 مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,هيستوار دي بارفيومز 7753 او دي بارفان 120 مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,تاريخ العطور 1876- 120مل,العطور,,تاريخ العطور 1876- 120مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,تاريخ العطور 1876- 120مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل,العطور,,عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر هستريوس ذز از نوت بلو بوتل 1/7 60مل |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum,العطور,,عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,عطر مون سانتال 50ملAstrophil & Stella Mon Santal Extrait de Parfum |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
منتج,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,العطور,,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,منتج جاهز,,,نعم,,,,,,,,,0.5,kg, | ,جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة |  |  - مهووس العطور,,,,,,نعم,,,,,,,,,,,,,
