اسم منتج المنافس,صورة المنافس,سعر المنافس,مصدر الملف,أقرب منتج لدينا,نسبة التطابق %,الطبقة المستخدمة,الماركة,القرار,وصف المنتج (LLM),وصف الماركة (LLM)
جاميز مكمل غذائي لنقص الوزن بنكهة خل التفاح الطبيعي من نيوتري في - 60 قطعة,,,recheck_competitors.csv,مجموعة هدايا كايالي  عصير الفانيليا بالتفاح,48.7,GOLDEN-LOW-VERIFIED,,new,,
"بيوتين, حلوى جاميز, مكمل غذائي, للشعر والصحة, بنكهة التوت, 60حبة",,,recheck_competitors.csv,عطر ويسكر كرويل أو دو بارفيوم 75مل (للجنسين),35.0,GOLDEN-LOW-VERIFIED,,new,,
كريم أساس اير مات من بورجوا - 03 لايت بيج,,,recheck_competitors.csv,كريم أساس استي لودر دبل وير ستاي إن بلايس,54.5,GOLDEN-LOW-VERIFIED,,new,,
فرينش افينيو ليكويد برون ليميتد اديشن او دو برفيوم 150مل,,,recheck_competitors.csv,تستر جورجيو أرماني بريف بلانك نوير أو دو برفيوم 100مل,26.8,GOLDEN-LOW-VERIFIED,,new,,
توبيريوس نو من توم فورد أو دو برفوم (للجنسين) 30مل,,,recheck_competitors.csv,عطر توم فورد إليكتريك تشيري أو دو بارفيوم 100مل,26.6,GOLDEN-LOW-VERIFIED,,new,,
عطر روز بريك من توم فرود اودي بارفيوم30مل,,,recheck_competitors.csv,عطر توم فورد روز بريك أو دو بارفيوم 250مل,30.9,GOLDEN-LOW-VERIFIED,,new,,
توم فورد وايت سويدي اي دي بيرفيوم للنساء 30 مل,,,recheck_competitors.csv,عطر توم فورد وايت سوايد أو دو برفيوم 50 مل,31.4,GOLDEN-LOW-VERIFIED,,new,,
ماسكرا تكثيف وتطويل الرموش من لوكا - 7جرام | 01 Dark Black,,,recheck_competitors.csv,جل حواجب نكس ذا براو جلو - شفاف 5 جرام,49.8,GOLDEN-LOW-VERIFIED,,new,,
عطر سولاي نيج أو دو بارفان,,,recheck_competitors.csv,عطر دولتشي آند غابانا ذا وان إنتنس أو دو بارفيوم 100مل,50.3,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر ستاردست مسك من دي جابور اكستريت دو بارفيوم,,,recheck_competitors.csv,عطر هيرمس جور دي أبسولو أو دو بارفيوم 85مل,54.2,GOLDEN-LOW-VERIFIED,,new,,
عينة عطر جيشا ديفا من دي جابور اكستريت دي بارفيوم,,,recheck_competitors.csv,عطر بوشرون عنبر دي أليكسندريا أو دو بارفيوم 125مل,53.8,GOLDEN-LOW-VERIFIED,,new,,
